country,AUS,AUT,BRA,BRB,DEU,FIN,FRA,GBR,IND,JPN,LBR,SAU,TZA,VGB,ZAF
AUS,1.0,0.30535758977392813,0.5101089553219191,0.21089349395455856,0.6130150996595183,0.466359602477047,0.6099881581021824,0.6529852203198879,0.29549304796017706,0.2582164933115297,-0.03175987137631009,0.537691456589244,0.24340599134624338,0.3189033764086033,0.1884589476360512
AUT,0.30535758977392813,1.0,0.21246784466136565,0.2784327142373363,0.5579349213268129,0.3482298753186864,0.36090702050958073,0.5469574569530208,0.39516536397486607,0.18850421499698522,0.275381198696244,0.19048246011944012,0.10212709992600455,0.2731561204974441,0.48610271302797103
BRA,0.5101089553219191,0.21246784466136565,1.0,0.11026043904610794,0.3076743199286892,0.12998441544086792,0.36130066224466173,0.28526069702076146,0.28025239397091845,0.3061035960944759,0.24709313393979887,0.5431888393650968,0.13802944314505314,-0.1108793437656131,0.2530870787899943
BRB,0.21089349395455856,0.2784327142373363,0.11026043904610794,1.0,0.3142328655192178,0.233093735634465,0.3530936707991271,0.3600536345504644,0.21598773323548565,0.2925540479852295,0.07014798523011785,0.10421847786021687,0.201016682598655,0.06854362456830829,0.2584731879158807
DEU,0.6130150996595183,0.5579349213268129,0.3076743199286892,0.3142328655192178,1.0,0.6495343479978265,0.773792263885802,0.7643198130852306,0.0008359587745891062,0.49885552792263443,0.03536984865701331,0.3352015710234525,0.030046962999133717,0.41621178124037095,0.4967881435430318
FIN,0.466359602477047,0.3482298753186864,0.12998441544086792,0.233093735634465,0.6495343479978265,1.0,0.689948000821746,0.788170184638726,0.17024766469931915,0.35407551237013285,-0.08911692641171386,0.2224098147460049,0.03986845876454243,0.04402354631760227,0.13871868202013785
FRA,0.6099881581021824,0.36090702050958073,0.36130066224466173,0.3530936707991271,0.773792263885802,0.689948000821746,1.0,0.7734067617432054,0.12814867658491536,0.33449870795673314,0.019546689349396892,0.37326941786896123,0.0783482658798787,0.2781313515066209,0.2902898815716315
GBR,0.6529852203198879,0.5469574569530208,0.28526069702076146,0.3600536345504644,0.7643198130852306,0.788170184638726,0.7734067617432054,1.0,0.36109570299128035,0.3882859972921851,-0.023749096106364814,0.4168894323252421,0.11585139198156802,0.2577321665131119,0.20660876907058576
IND,0.29549304796017706,0.39516536397486607,0.28025239397091845,0.21598773323548565,0.0008359587745891062,0.17024766469931915,0.12814867658491536,0.36109570299128035,1.0,-0.06271041733655883,-0.10926351719812304,0.38916791758269914,-0.0635827079439166,0.09826844074087578,0.0010630661191252356
JPN,0.2582164933115297,0.18850421499698522,0.3061035960944759,0.2925540479852295,0.49885552792263443,0.35407551237013285,0.33449870795673314,0.3882859972921851,-0.06271041733655883,1.0,0.3286141866704311,0.23284947427489253,-0.009410956560306088,0.06593288318867883,0.2821691667762319
LBR,-0.03175987137631009,0.275381198696244,0.24709313393979887,0.07014798523011785,0.03536984865701331,-0.08911692641171386,0.019546689349396892,-0.023749096106364814,-0.10926351719812304,0.3286141866704311,1.0,0.08254637224730263,0.20291891628771835,-0.1400278545137497,0.3265368804942378
SAU,0.537691456589244,0.19048246011944012,0.5431888393650968,0.10421847786021687,0.3352015710234525,0.2224098147460049,0.37326941786896123,0.4168894323252421,0.38916791758269914,0.23284947427489253,0.08254637224730263,1.0,0.3149523002732013,0.1866217645489,0.1328442874479614
TZA,0.24340599134624338,0.10212709992600455,0.13802944314505314,0.201016682598655,0.030046962999133717,0.03986845876454243,0.0783482658798787,0.11585139198156802,-0.0635827079439166,-0.009410956560306088,0.20291891628771835,0.3149523002732013,1.0,-0.006348342211876486,0.11431819616191966
VGB,0.3189033764086033,0.2731561204974441,-0.1108793437656131,0.06854362456830829,0.41621178124037095,0.04402354631760227,0.2781313515066209,0.2577321665131119,0.09826844074087578,0.06593288318867883,-0.1400278545137497,0.1866217645489,-0.006348342211876486,1.0,0.1777038469361325
ZAF,0.1884589476360512,0.48610271302797103,0.2530870787899943,0.2584731879158807,0.4967881435430318,0.13871868202013785,0.2902898815716315,0.20660876907058576,0.0010630661191252356,0.2821691667762319,0.3265368804942378,0.1328442874479614,0.11431819616191966,0.1777038469361325,1.0
