country,datadate,ew_return,vw_return,period
AUS,2020-03-31,-0.2584858340512109,-0.4402224312473647,Crisis
AUS,2020-04-30,-0.006011927674094,-0.2219121992622568,Crisis
AUS,2020-05-31,0.0114877291814892,0.2985690789523731,Crisis
AUS,2020-06-30,-0.1188636029506269,-0.1198106807932092,Crisis
AUS,2020-07-31,0.0778817168502239,-0.0110667054453473,Crisis
AUS,2020-08-31,0.0792927570945746,0.0332427748505061,Crisis
AUS,2020-09-30,0.0192789619372298,-0.0239231314598095,Crisis
AUS,2020-10-31,0.0138591018919188,-0.0002457802265626,Crisis
AUS,2020-11-30,0.0538709405955935,0.0595064255261995,Crisis
AUS,2020-12-31,0.0138170428634567,0.0002127569523696,Crisis
AUS,2021-01-31,0.0327209491146362,-0.0049987879405751,Crisis
AUS,2021-02-28,0.0194932331319465,-0.0041352412473848,Crisis
AUS,2021-03-31,-0.0091561364897529,0.0087240810086855,Crisis
AUS,2021-04-30,0.0279160726275163,0.018277146731642,Crisis
AUS,2021-05-31,-0.0121664820902696,-0.0006349090878433,Crisis
AUS,2021-06-30,-0.0238006800929676,0.0124171430048537,Crisis
AUS,2021-07-31,0.0196407296815802,-0.0012246244145039,Crisis
AUS,2021-08-31,0.0126287363848079,0.0162368536273407,Crisis
AUS,2021-09-30,0.0062322359602868,0.0231048432671533,Crisis
AUS,2021-10-31,0.0245038952514587,0.0269695486429093,Crisis
AUS,2021-11-30,-0.0146992339333534,0.051910857114084,Crisis
AUS,2021-12-31,-0.0072143396936511,0.0391404913809991,Crisis
AUS,2022-01-31,-0.026956844885068,-0.0046261844146385,Recovery
AUS,2022-02-28,-0.0258079386978768,-0.0177680400910307,Recovery
AUS,2022-03-31,0.0318120565132747,0.0004477576934714,Recovery
AUS,2022-04-30,-0.0108024091789231,-0.0228176857606275,Recovery
AUS,2022-05-31,-0.0665750571562325,-0.0578464442009789,Recovery
AUS,2022-06-30,-0.1178055393188918,-0.116501670651993,Recovery
AUS,2022-07-31,0.0849515549305815,-0.0032999726573453,Recovery
AUS,2022-08-31,0.013778386466428,-0.0384996606041967,Recovery
AUS,2022-09-30,-0.0438624583313997,-0.1028771324492079,Recovery
AUS,2022-10-31,-0.0034068905283831,-0.0135634744027874,Recovery
AUS,2022-11-30,0.0148469251443614,0.0036670386675444,Recovery
AUS,2022-12-31,-0.0220569221784427,-0.0574945722009139,Recovery
AUS,2023-01-31,0.0365883178762379,0.0046553213083412,Recovery
AUS,2023-02-28,-0.0389086525921978,-0.0345720987215711,Recovery
AUS,2023-03-31,-0.0278042390873337,-0.034393392429087,Recovery
AUS,2023-04-30,0.0053255979627492,-0.0087153406392193,Recovery
AUS,2023-05-31,-0.0303532369736919,-0.0202129498025413,Recovery
AUS,2023-06-30,-0.0172079321878877,-0.020505396942335,Recovery
AUS,2023-07-31,0.033147274505739,0.0158160997758376,Recovery
AUS,2023-08-31,-0.0287694584117971,-0.0179443291941838,Recovery
AUS,2023-09-30,-0.0243810282772851,-0.0307739543378572,Recovery
AUS,2023-10-31,-0.0345668568425816,-0.036512221689997,Recovery
AUS,2023-11-30,0.019359993591125,0.007791157652418,Recovery
AUS,2023-12-31,0.0069650184162217,0.0129177648519608,Recovery
AUS,2024-01-31,-0.028370779849089,-0.0029946781598636,Recovery
AUS,2024-02-29,-0.0113720227839845,0.0110401675955576,Recovery
AUS,2024-03-31,0.0108490328473791,0.0135146414312974,Recovery
AUS,2024-04-30,-0.0064049795789062,-0.0153313064681297,Recovery
AUS,2024-05-31,-0.0167724387599809,-0.0367934766586126,Recovery
AUS,2024-06-30,-0.0471853700553477,0.0061816893908666,Recovery
AUS,2024-07-31,0.0068190153312596,0.0225795087048834,Recovery
AUS,2024-08-31,-0.0179081463258195,0.0082274710339335,Recovery
AUS,2024-09-30,0.0189042500768273,-0.0403962650102966,Recovery
AUS,2024-10-31,0.0088815590685758,-0.0411501471650661,Recovery
AUS,2024-11-30,-0.0209806235198796,-0.0146557253745412,Recovery
AUS,2024-12-31,-0.0177814702461875,-0.0624751653869688,Recovery
AUT,2020-03-31,-0.0714818755779954,-0.0303655679798057,Crisis
AUT,2020-04-30,-0.0078611030465154,0.0008039684938572,Crisis
AUT,2020-05-31,-0.0535514856604963,-0.0303954008888525,Crisis
AUT,2020-06-30,-0.0337003416324899,-0.0016037918997862,Crisis
AUT,2020-07-31,-0.0420927653697688,-0.0230258237957381,Crisis
AUT,2020-08-31,-0.060220005253309,0.0014498049968904,Crisis
AUT,2020-09-30,0.0017522686096101,0.0115901040755214,Crisis
AUT,2020-10-31,-0.0597298092398691,-0.0066455073222208,Crisis
AUT,2020-11-30,0.0478912259128346,0.028438593311846,Crisis
AUT,2020-12-31,-0.023201338331847,-0.1001108586793076,Crisis
AUT,2021-01-31,-0.0043065285174393,-0.0019674347098372,Crisis
AUT,2021-02-28,-0.0272541523527821,-0.0882701018253103,Crisis
AUT,2021-03-31,-0.0102090297347959,-0.0239424153730673,Crisis
AUT,2021-04-30,-0.0242298928119517,-0.1077449083457395,Crisis
AUT,2021-05-31,-0.0277078050447956,-0.024189811401021,Crisis
AUT,2021-06-30,-0.01057706412244,-0.0190510557750475,Crisis
AUT,2021-07-31,-0.0191481163588055,-0.0218164891363831,Crisis
AUT,2021-08-31,-0.0478107262854394,-0.0298796694052617,Crisis
AUT,2021-09-30,-0.0305151223547176,-0.02910079687896,Crisis
AUT,2021-10-31,-0.0163423143669852,-0.016918448462131,Crisis
AUT,2021-11-30,-0.060551025990709,-0.038811187320229,Crisis
