country,AUS,AUT,BRA,BRB,DEU,FIN,FRA,GBR,IND,JPN,SAU,TZA,VGB,ZAF
AUS,1.0,0.3388008736537889,-0.45422300820464223,-0.0987944984054404,0.771081184095419,0.6202383867143981,0.25063754667971533,0.3221348555305028,0.6316672146192701,0.8109865673431327,0.33500392622060554,-0.11029974010664477,0.28767170358400246,0.8351233964533452
AUT,0.3388008736537889,1.0,0.20568876746809728,-0.6861954537718221,0.5575994251034924,0.6350167446775651,0.5567412047548844,0.45227399057749806,0.41536271576413525,0.4161902737143369,0.6761517763881632,-0.16645436489761434,0.13284942132160463,0.5587007625039666
BRA,-0.45422300820464223,0.20568876746809728,1.0,0.08430244589670535,0.2782287793375513,0.8893074473777067,0.7586884999300546,0.5083637708260732,0.4615391941927251,0.3168144992545162,0.34572623922062606,0.08076963914353359,-0.5175584763037713,-0.23121274871223507
BRB,-0.0987944984054404,-0.6861954537718221,0.08430244589670535,1.0,-0.3368757270843388,-0.10042368121944735,-0.0641606505461717,-0.01415629965984691,-0.47033158728265,-0.4802791369306282,-0.5880002976956205,-0.3612746906152534,-0.10349050429395713,0.10705668571408208
DEU,0.771081184095419,0.5575994251034924,0.2782287793375513,-0.3368757270843388,1.0,0.5681140790469071,0.49995462180283745,0.5025270408796202,0.7937454400145014,0.8016714599869962,0.6591712122825082,0.240558331380581,0.3789442294723307,0.8625545348274157
FIN,0.6202383867143981,0.6350167446775651,0.8893074473777067,-0.10042368121944735,0.5681140790469071,1.0,0.891580876752283,0.7125966691231455,-0.011768188600884723,0.2843656317394688,0.5467842275082252,0.006234358328138883,-0.5828180721317522,0.4986761817251199
FRA,0.25063754667971533,0.5567412047548844,0.7586884999300546,-0.0641606505461717,0.49995462180283745,0.891580876752283,1.0,0.8368607673242405,0.3735123159251898,0.4392913246126129,0.6377770249766446,-0.0016568381510271323,-0.29018921040874546,0.33298111773034306
GBR,0.3221348555305028,0.45227399057749806,0.5083637708260732,-0.01415629965984691,0.5025270408796202,0.7125966691231455,0.8368607673242405,1.0,0.2921177481363994,0.3525870228233481,0.6569981695086412,0.16008372898338968,-0.06481741350799373,0.3296050213980365
IND,0.6316672146192701,0.41536271576413525,0.4615391941927251,-0.47033158728265,0.7937454400145014,-0.011768188600884723,0.3735123159251898,0.2921177481363994,1.0,0.8782809677896193,0.24577712186965434,0.3658198652080856,-0.08941618956619996,0.8094999537339719
JPN,0.8109865673431327,0.4161902737143369,0.3168144992545162,-0.4802791369306282,0.8016714599869962,0.2843656317394688,0.4392913246126129,0.3525870228233481,0.8782809677896193,1.0,0.575585383598586,-0.1459917706051419,-0.22151886506954352,0.8849313044191887
SAU,0.33500392622060554,0.6761517763881632,0.34572623922062606,-0.5880002976956205,0.6591712122825082,0.5467842275082252,0.6377770249766446,0.6569981695086412,0.24577712186965434,0.575585383598586,1.0,-0.1379590707586213,0.14708538851861117,0.32639961506602033
TZA,-0.11029974010664477,-0.16645436489761434,0.08076963914353359,-0.3612746906152534,0.240558331380581,0.006234358328138883,-0.0016568381510271323,0.16008372898338968,0.3658198652080856,-0.1459917706051419,-0.1379590707586213,1.0,-0.06279342787495651,0.1621788962854847
VGB,0.28767170358400246,0.13284942132160463,-0.5175584763037713,-0.10349050429395713,0.3789442294723307,-0.5828180721317522,-0.29018921040874546,-0.06481741350799373,-0.08941618956619996,-0.22151886506954352,0.14708538851861117,-0.06279342787495651,1.0,0.3468731335094709
ZAF,0.8351233964533452,0.5587007625039666,-0.23121274871223507,0.10705668571408208,0.8625545348274157,0.4986761817251199,0.33298111773034306,0.3296050213980365,0.8094999537339719,0.8849313044191887,0.32639961506602033,0.1621788962854847,0.3468731335094709,1.0
